Country_Name,Year,Index,Arrivals,Receipts,Expenditures,Population,Balance,Arrivals_zscore,Receipts_zscore,Expenditures_zscore,Population_zscore,Balance_zscore
Australia,2019,Australia-2019,9466000,47953000000,41345000000,25334826,6608000000,-0.009,2.0178,2.2458,-0.1013,0.6154
Australia,2020,Australia-2020,1828000,26234000000,7654000000,25649248,18580000000,-0.3219,0.9453,0.1191,-0.0986,2.0099
Austria,2015,Austria-2015,26728000,20422000000,11337000000,8642699,9085000000,0.6981,0.6583,0.3516,-0.2409,0.904
Austria,2016,Austria-2016,28121000,20965000000,11634000000,8736668,9331000000,0.7551,0.6851,0.3704,-0.2401,0.9326
Austria,2017,Austria-2017,29460000,22424000000,12878000000,8797566,9546000000,0.81,0.7572,0.4489,-0.2396,0.9577
Austria,2018,Austria-2018,30816000,25413000000,14109000000,8840521,11304000000,0.8655,0.9048,0.5266,-0.2392,1.1624
Austria,2019,Austria-2019,31884000,25924000000,13922000000,8879920,12002000000,0.9093,0.93,0.5148,-0.2389,1.2437
Austria,2020,Austria-2020,15091000,15362000000,5551000000,8916864,9811000000,0.2214,0.4084,-0.0136,-0.2386,0.9885
Azerbaijan,2015,Azerbaijan-2015,2006000,2535000000,2743000000,9649341,-208000000,-0.3146,-0.225,-0.1908,-0.2324,-0.1785
Azerbaijan,2016,Azerbaijan-2016,2249000,2855000000,2593000000,9757812,262000000,-0.3046,-0.2092,-0.2003,-0.2315,-0.1237
Azerbaijan,2017,Azerbaijan-2017,2697000,3214000000,2803000000,9854033,411000000,-0.2863,-0.1914,-0.1871,-0.2307,-0.1064
Azerbaijan,2018,Azerbaijan-2018,2850000,2830000000,2453000000,9939771,377000000,-0.28,-0.2104,-0.2091,-0.23,-0.1103
Azerbaijan,2019,Azerbaijan-2019,3170000,2004099975.59,1839000000,10024283,165099975.59,-0.2669,-0.2512,-0.2479,-0.2293,-0.135
Azerbaijan,2020,Azerbaijan-2020,796000,340000000,439000000,10093121,-99000000,-0.3641,-0.3333,-0.3363,-0.2287,-0.1658
"Bahamas, The",2015,"Bahamas, The-2015",6112000,2554000000,347000000,385346,2207000000,-0.1464,-0.224,-0.3421,-0.3099,0.1028
"Bahamas, The",2016,"Bahamas, The-2016",6265000,3091000000,440000000,388055,2651000000,-0.1401,-0.1975,-0.3362,-0.3099,0.1545
"Bahamas, The",2017,"Bahamas, The-2017",6136000,2951000000,554000000,390485,2397000000,-0.1454,-0.2044,-0.329,-0.3099,0.125
"Bahamas, The",2018,"Bahamas, The-2018",6622000,3756000000,519000000,392717,3237000000,-0.1255,-0.1647,-0.3312,-0.3099,0.2228
"Bahamas, The",2019,"Bahamas, The-2019",7250000,4150000000,514000000,394675,3636000000,-0.0998,-0.1452,-0.3315,-0.3099,0.2693
"Bahamas, The",2020,"Bahamas, The-2020",1794500,1007000000,166000000,395863,841000000,-0.3232,-0.3004,-0.3535,-0.3098,-0.0563
Bahrain,2015,Bahrain-2015,9670000,2827000000,4939000000,1370322,-2112000000,-0.0006,-0.2105,-0.0522,-0.3017,-0.4002
Bahrain,2016,Bahrain-2016,10158000,4021000000,3267000000,1423726,754000000,0.0194,-0.1516,-0.1578,-0.3012,-0.0664
Bahrain,2017,Bahrain-2017,11374000,4380000000,3178000000,1501116,1202000000,0.0692,-0.1338,-0.1634,-0.3006,-0.0142
Bahrain,2018,Bahrain-2018,12045000,3834000000,2522000000,1503091,1312000000,0.0966,-0.1608,-0.2048,-0.3006,-0.0014
Bahrain,2019,Bahrain-2019,11061000,3860000000,2637000000,1483756,1223000000,0.0563,-0.1595,-0.1975,-0.3007,-0.0118
